HFA,KFA,AFA,HAA,KVA,AVA,KVM,GRF,KFM,ASF,H/Q,T/G,ACL stress
33.37654708,33.17984029,-8.47520408,20.20141363,2.89215701,-3.2516486,-0.13987065,0.138109075,0.036827427,2.12017132,0.767977902,1.074575777,2.007940398
38.60380445,38.854937,-5.39964511,18.97695715,2.62506763,-4.50247092,-0.152303651,0.050172721,0.01740419,0.516504808,0.830953612,0.611639881,1.890721489
40.7703267,40.02762573,-4.54801768,18.60243301,2.57954817,-3.31935609,-0.431212447,0.01670785,0.082799695,1.648164217,0.871397202,0.728484789,1.864302237
37.00970384,36.66072177,-8.09280587,21.92374425,1.16756606,-3.78894837,-0.158344203,0.029469605,0.021830966,1.469959788,0.738770839,0.657588658,1.92461308
38.33878995,39.48595334,-5.0489138,19.38127575,1.74995641,-1.5002925,-0.19317763,0.021622558,0.017346363,0.648164217,0.736501865,0.398322753,1.862607724
30.89544539,31.74402426,-10.62162691,22.93240252,4.02749047,0.41796623,-0.119925377,0.001970476,0.019376439,1.469959788,0.734153338,0.512733679,2.044376389
29.9545832,29.01999011,-9.03765718,23.57715859,6.00089431,-1.14823741,-0.046699551,0.073177088,0.045488705,2.336597108,0.683843587,0.516205111,2.094526297
34.03037684,34.23775049,-5.97660523,22.84691854,4.96406769,-0.04914379,-0.102000954,0.126158585,0.042355277,2.63750174,0.743434566,0.660160573,1.986673661
32.99911656,30.99427681,-9.98935127,23.43527344,3.8284331,-0.84926634,-0.11446033,1.11E-06,0.024641229,2.636927094,0.756135975,0.562339937,2.077377988
33.8295252,33.04960738,-7.80433158,22.10477746,5.3420535,-1.71245058,-0.12246719,2.60E-06,0.01986989,2.319493854,0.770114591,0.564874102,2.020425028
33.82219864,35.98416133,-6.19004564,22.81703542,2.87364315,-1.8296066,-0.103869521,0.006871483,0.074435812,1.488752661,0.814552803,0.416319273,1.958769936
31.50829506,31.16902287,-7.10549832,24.23512748,3.32074883,1.84512135,-0.249311883,0.068303578,0.013543426,2.105926652,0.766033238,0.399458115,2.065377531
32.4884537,30.22350695,-9.75971073,23.51299982,5.18058818,-2.89062951,-0.230675818,0.097634993,0.047575212,2.307435327,0.742083819,0.248570838,2.06516298
35.78899839,34.55698582,-8.034415,21.87430544,4.1731682,-2.21280824,-0.145686131,0.074752871,0.013463113,2.405585084,0.79987386,0.326495552,1.983684904
15.8353369,18.68245061,7.70622852,19.04247991,3.20198802,-5.35668937,-0.001014296,0.112897052,0.024348447,2.427973322,0.552945325,0.502184371,2.404487798
19.10128818,28.20154574,7.84930948,18.8799062,2.3174933,3.28202375,-0.086699076,0.001021925,0.035379707,2.41036497,0.744122035,0.267496483,2.131590266
