HFA,KFA,HAA,KVA,AVA,KVM,KFM,ASF,H/Q,ACL stress
29.03724981,38.11564172,28.27083315,6.78777479,-5.62336747,-0.033066814,0.097211636,1.938913263,0.778228491,1.999450699
26.68185555,40.95724295,14.0454757,4.94344554,9.25575524,0.008555658,0.028277538,-1.796969954,0.788744056,1.950027301
26.34101005,44.98141216,14.13415194,4.02057787,11.46335706,-0.093852544,0.029634632,-2.239226773,0.849986899,1.842678204
24.17601068,15.6491088,17.08295422,2.27593152,-5.92281853,0.006709108,0.02800592,0.053973433,0.507622594,2.498498821
24.02817009,39.10261152,14.09813031,4.11498631,9.46474045,-0.007091775,0.03573034,-1.2163898,0.787674203,1.994493637
23.89450537,18.07798181,17.75008393,2.57032846,-2.85622415,-0.0622237,0.033547582,-0.465612141,0.473153771,2.426871104
23.82229285,35.7802201,17.39716951,4.90579472,8.47782399,-0.001950378,0.034338021,-0.773035924,0.767852352,2.073091808
23.65109797,42.44107434,17.5208132,3.90737214,10.15451352,-0.094964671,0.036408687,-1.543821234,0.784742261,1.939288667
23.29001632,33.60416203,15.98653736,5.93920194,5.16136473,-0.020436583,0.029639585,-0.652260578,0.731430515,2.112093549
23.17375918,20.76360758,16.6934032,3.96156809,-0.51949274,0.007699511,0.031296558,-0.159913507,0.498848929,2.415629326
23.16111969,38.59447294,16.54699523,4.66947736,9.71451033,-0.078045802,0.031538401,-1.25011196,0.786020327,1.992983851
23.14605061,45.54526163,14.19234841,3.49820683,13.43931912,-0.083799585,0.032590923,-2.167953465,0.824958633,1.863793402
23.00115718,23.91386561,15.93704191,4.49205516,2.2007051,-0.110752668,0.038333579,-0.410129346,0.616248224,2.311614271
22.81711041,41.29505029,11.92539389,6.29125576,8.38934444,-0.02018575,0.031379628,-1.86019418,0.752347915,1.963855276
21.98254358,41.62885612,13.36820723,5.04271447,8.934536,-0.012992813,0.100049634,-3.600409762,0.83039248,1.902173291
21.24685797,38.89113024,16.37575091,4.53603848,9.2037248,-0.039145077,0.038511198,-1.414846733,0.777827573,2.006965904
20.58278031,30.35536362,27.29361398,3.76158998,8.11717667,0.02104339,0.037684776,-0.734758293,0.678333317,2.2074795
20.30291466,41.53726559,17.54741468,3.95244478,10.84101715,-0.111945159,0.033534034,-1.778022119,0.857351077,1.915502577
20.19584625,20.49337783,17.59577957,4.73309789,-3.48656696,0.007772316,0.035186955,-0.689353141,0.602829587,2.278310112
19.87704181,35.58223224,18.35923413,1.64568463,5.20897421,-0.08598815,0.036228119,-0.83653339,0.739555533,2.11977055
19.87347877,41.425238,11.93008097,0.24250147,8.1413646,-0.117618784,0.053693869,-1.596750557,0.76722126,1.984058114
19.79861493,24.03334946,17.67098545,5.43760482,1.60264543,-0.137920113,0.036317789,-0.649159985,0.651560176,2.234905082
19.71673965,34.03007372,13.43047161,-0.30100656,4.19003906,-0.01356601,0.033092488,-0.484395522,0.703396313,2.108008057
19.63713516,36.77444435,27.13124626,3.55247701,11.56668401,-0.103799777,0.038042218,-0.946518222,0.744479313,2.070523555
19.55238261,28.11218509,19.51532268,1.60054682,0.67193345,0.018742495,0.039034157,-0.690090962,0.574074679,2.264967046
19.52532931,15.08475266,25.91039794,2.5056747,-4.76559689,0.008107424,0.027480536,0.10993218,0.667278674,2.466313976
19.31467802,19.1184238,24.67569888,3.13178422,-0.76653564,-0.099129395,0.033268652,0.147986039,0.627613784,2.378406788
19.10128818,28.20154574,18.8799062,2.3174933,3.28202375,0.015051923,0.035379707,-0.958479662,0.744122035,2.131590266
19.08482835,31.3892211,24.77350914,3.24295838,8.45984309,-0.051147422,0.041907812,-0.912052005,0.692933088,2.178844305
